Compound index,SMILES,Max(Brain/Blood),Reach time
1236-3-MFHA,CC(CCCCCCCCCCCCCCF)CC(=O)O,0.5454545454545454,60min
1236-FPA,O=C(O)CCCCCCCCCCCCCCCF,0.7096774193548387,60min
1237-18F-3,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)CC1C#Cc1ccc(-c2ccc(OCCF)cc2)cc1,0.056179775280898875,60min
1238-18F-1,CC(=O)[C@@H]1CCCC2C3C[C@@H](F)C4=CC(=O)CC[C@@]4(C)C3CC[C@]21C,0.7494407158836689,60min
1240-18F8a,CN(C)c1ccc(-c2cc(=O)c3cc(OCCF)ccc3o2)cc1,1.4892857142857143,2min
1240-18F8b,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCF)ccc3o2)cc1,1.6937799043062203,2min
1240-18F8c,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCOCCF)ccc3o2)cc1,1.4866666666666666,10min
1243-18F5,O=C(NCCF)c1c[nH]c2ccc(Cc3ccccc3)cc2c1=O,0.06666666666666667,30min
1247-618FFFuc,CC1(O)OC(C)(CF)C(C)(O)C(C)(O)C1(C)O,0.1842105263157895,60min
1255-618FFDF,OCC1(O)O[C@H](CF)[C@@H](O)C1O,0.7973856209150326,120min
1256-11C4a,CNC(C)Cc1ccccc1,5.711538461538462,5min
1256-11C4b,CNC(C)Cc1ccc2c(c1)OCO2,4.754901960784314,5min
1256-18F2a,CC(N)Cc1ccc(F)cc1,2.9791666666666665,60min
1256-18F2b,Cc1cc2c(cc1CC(C)N)OCO2,2.5792393026941363,5min
1257-18FI,Fc1ncnc2c1ncn2Cc1ccccc1,10.421052631578947,60min
1261-18F8a,CN(C)c1ccc(-c2cc(=O)c3cc(OCCF)ccc3o2)cc1,1.4892857142857143,2min
1261-18F8b,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCF)ccc3o2)cc1,1.6937799043062203,2min
1261-18F8c,CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCOCCF)ccc3o2)cc1,1.4866666666666666,10min
1266-6-18F-FPCV,NC1N=C(F)c2ncn(CCC(CO)CO)c2N1,0.4166666666666667,90min
1280-18F11,CC(C)(C)OC(=O)COCCCCCF,0.08695652173913043,30min
1280-18F4,CCOC(=O)CC(C)CCCCCF,0.2931034482758621,10min
1280-18F5,COC(=O)CC(C)(C)CCCCCF,0.4042553191489362,10min
1280-18F6,COC(=O)CCCCCCCF,1.0222222222222221,90min
1280-18F7,CC(CCCCCF)CC(=O)O,0.18987341772151897,5min
1280-18F8,O=C(O)CCCCCCCF,0.9024390243902439,60min
1307A-18F-CPFPX,CCCn1c(=O)c2c(nc(C3CCCC3)n2COC(=O)C(C)(C)C)n(CCCOS(=O)(=O)c2ccc(C)cc2)c1=O,1.0,60min
1308-DFDG,OCC1C(O)C(O)C2(F)C(O)OC12F,3.4255319148936176,15min
1318A-F-18FDGal ,OCC1OC(O)C(F)C(O)C1O,2.7,120min
1318D-18FGal,OC[C@H]1OC(O)[C@H](F)[C@@H](O)[C@H]1O,2.888888888888889,60min
1319-18FFDT,OC[C@H]1OC(O)[C@@H](F)[C@@H](O)[C@H]1O,1.2930232558139534,60min
1320E-18F-FDG,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,11.458333333333334,60min
1320E-18F-FET,N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O,0.838235294117647,60min
1326-18F3,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)NCCCCn4cc(CCCCF)nn4)C(=O)O)cc3)nc2c(=O)[nH]1,2.0,45min
